platform,id,name,repo_url,created_since(m),updated_since(m),contributor_count,org_count,commit_frequency(y),recent_releases_count(y),closed_issues_count(90d),updated_issues_count(90d),comment_frequency,dependents_count,criticality_score,pagerank,truckfactor
Packagist,1396,symfony/yaml,https://github.com/symfony/yaml,120.0,0.0,145.0,12.0,1.0,52.0,0.0,0.0,0.0,9589.0,0.60799,1232.6937089492108,2.0
Packagist,110436,phpunit/php-file-iterator,https://github.com/sebastianbergmann/php-file-iterator,135.0,0.0,16.0,11.0,1.4,3.0,0.0,0.0,0.0,153.0,0.44353,1229.0262717770645,1.0
Packagist,1341,symfony/console,https://github.com/symfony/console,120.0,0.0,329.0,15.0,2.1,51.0,1.0,3.0,1.0,19422.0,0.69441,1190.0954117876336,4.0
Packagist,123217,sebastian/diff,https://github.com/sebastianbergmann/diff,96.0,0.0,22.0,9.0,1.8,2.0,1.0,2.0,5.0,206.0,0.53298,1154.3976136768624,2.0
Packagist,127282,squizlabs/php_codesniffer,https://github.com/squizlabs/PHP_CodeSniffer,111.0,0.0,212.0,11.0,5.0,5.0,120.0,167.0,1.6,5001.0,0.70577,1148.8820077127255,1.0
Packagist,16198,illuminate/support,https://github.com/illuminate/support,105.0,0.0,477.0,9.0,5.4,47.0,2.0,2.0,0.5,4696.0,0.67222,1052.9240978427472,2.0
Packagist,110440,phpunit/php-timer,https://github.com/sebastianbergmann/php-timer,129.0,0.0,12.0,10.0,2.3,2.0,4.0,4.0,1.8,208.0,0.5078,1026.8155619870936,1.0
Packagist,110438,phpunit/php-code-coverage,https://github.com/sebastianbergmann/php-code-coverage,141.0,0.0,102.0,8.0,7.3,14.0,28.0,37.0,2.6,691.0,0.65784,1020.9657798373328,1.0
Packagist,123228,sebastian/version,https://github.com/sebastianbergmann/version,97.0,3.0,7.0,7.0,0.1,2.0,0.0,0.0,0.0,260.0,0.35894,1018.8532159275037,1.0
Packagist,123219,sebastian/environment,https://github.com/sebastianbergmann/environment,83.0,0.0,18.0,12.0,1.8,5.0,0.0,0.0,0.0,273.0,0.45784,987.6817504047568,1.0
Packagist,123214,sebastian/comparator,https://github.com/sebastianbergmann/comparator,87.0,0.0,24.0,10.0,1.8,4.0,1.0,3.0,1.3,213.0,0.50858,925.206202984789,1.0
Packagist,110445,phpunit/phpunit-mock-objects,https://github.com/sebastianbergmann/phpunit-mock-objects,130.0,28.0,73.0,13.0,0.0,9.0,0.0,0.0,0.0,563.0,0.42628,896.3866446923182,1.0
Packagist,30739,yiisoft/yii2,https://github.com/yiisoft/yii2-framework,88.0,0.0,817.0,11.0,4.9,8.0,0.0,0.0,0.0,286.0,0.58396,877.2661282877281,2.0
Packagist,72225,sebastian/recursion-context,https://github.com/sebastianbergmann/recursion-context,72.0,0.0,7.0,6.0,1.7,2.0,2.0,2.0,0.0,116.0,0.39525,861.0899010252325,1.0
Packagist,113770,psr/log,https://github.com/php-fig/log,98.0,3.0,26.0,12.0,0.1,1.0,1.0,3.0,2.3,306.0,0.46911,833.0282920515705,1.0
Packagist,2010,guzzlehttp/guzzle,https://github.com/guzzle/guzzle,119.0,1.0,387.0,11.0,3.0,13.0,295.0,336.0,1.6,2282.0,0.71217,811.4366308890288,1.0
Pypi,11615,requests,https://github.com/kennethreitz/requests,120.0,0.0,674.0,8.0,1.3,14.0,122.0,159.0,1.7,7157.0,0.73752,664.8998056309118,1.0
Pypi,16704,six,https://github.com/benjaminp/six,48.0,7.0,60.0,7.0,0.3,6.0,4.0,12.0,2.0,1444.0,0.50515,582.9226495384368,1.0
Pypi,141233,numpy,https://github.com/numpy/numpy,125.0,0.0,1224.0,9.0,40.3,16.0,768.0,1093.0,3.2,8776.0,0.8589,288.00840326909236,6.0
Pypi,15261,setuptools,https://github.com/pypa/setuptools,58.0,0.0,403.0,4.0,11.5,6.0,84.0,151.0,1.9,10543.0,0.69918,237.71861571494662,4.0
Pypi,23927,certifi,,,,,,,,,,,,,226.6195047918928,
Pypi,17819,beautifulsoup4,,,,,,,,,,,,,205.86618602732997,
Pypi,1910748,soupsieve,https://github.com/facelessuser/soupsieve,25.0,0.0,8.0,4.0,0.8,4.0,13.0,14.0,3.7,204.0,0.45636,174.71903776612885,1.0
Pypi,26522,click,https://github.com/mitsuhiko/click,81.0,1.0,273.0,5.0,3.3,4.0,1609.0,1625.0,0.1,604.0,0.60859,169.7975097016316,1.0
Pypi,9172,PyYAML,https://github.com/yaml/pyyaml,111.0,9.0,33.0,9.0,0.1,4.0,18.0,48.0,2.0,4027.0,0.54267,151.9171693083068,1.0
Pypi,5934,pytz,https://github.com/stub42/pytz,54.0,2.0,15.0,3.0,0.4,14.0,3.0,6.0,2.5,1007.0,0.4702,151.1533906363527,1.0
Pypi,34769,urllib3,https://github.com/urllib3/urllib3,113.0,0.0,266.0,8.0,3.6,7.0,144.0,194.0,2.6,9663.0,0.73111,140.47911885742633,4.0
Pypi,39463,Django,https://github.com/django/django,105.0,0.0,2439.0,4.0,24.4,35.0,377.0,466.0,2.2,33382.0,0.84229,131.68294958808409,5.0
Pypi,24002,chardet,https://github.com/chardet/chardet,102.0,0.0,37.0,8.0,0.7,1.0,25.0,30.0,0.4,306.0,0.50657,129.14162228001854,1.0
Pypi,103755,idna,https://github.com/kjd/idna,92.0,1.0,13.0,4.0,0.5,3.0,2.0,2.0,0.0,787.0,0.41247,109.91215049729027,1.0
Pypi,441895,python-dateutil,https://github.com/dateutil/dateutil,74.0,3.0,118.0,5.0,0.5,3.0,5.0,23.0,1.1,937.0,0.512,101.46642682011174,1.0
Pypi,15291,appdirs,https://github.com/ActiveState/appdirs,127.0,1.0,29.0,8.0,0.2,1.0,2.0,11.0,0.5,222.0,0.45679,82.153305706885,2.0
Pypi,145356,packaging,https://github.com/pypa/packaging,80.0,0.0,58.0,8.0,1.5,9.0,39.0,62.0,3.3,1011.0,0.625,78.35144125541439,2.0
Pypi,106885,Jinja2,https://github.com/pallets/jinja,124.0,1.0,262.0,8.0,2.3,3.0,1213.0,1232.0,0.0,1541.0,0.63728,73.74409348568373,1.0
Pypi,84780,Flask,https://github.com/pallets/flask,130.0,1.0,707.0,6.0,3.1,1.0,3645.0,3653.0,0.0,4652.0,0.67853,70.6872984262362,1.0
Pypi,130369,MarkupSafe,https://github.com/pallets/markupsafe,128.0,1.0,30.0,8.0,1.2,2.0,163.0,165.0,0.1,297.0,0.51307,69.0549909725176,1.0
